#Position (bp)	insert size
2001402.5	228.50608695652173
2008282.5	222.900826446281
2013984.5	241.00804828973844
2024210.5	234.77914110429447
2035614.5	238.16076696165192
2047018.5	234.7492957746479
2058422.5	238.595818815331
2069826.5	228.1449067431851
2081230.5	230.1248120300752
2092634.5	225.89579524680073
2104038.5	232.23299319727892
2115442.5	237.91137123745818
2123305.0	226.35
2129007.0	237.18372093023257
2138250.5	233.74539877300614
2149654.5	230.99242424242425
2161058.5	231.83333333333334
2172462.5	240.3811802232855
2183866.5	228.4439178515008
2195270.5	236.31375838926175
2206674.5	223.8736176935229
2218078.5	254.35314091680814
2229482.5	228.49918433931484
2237971.0	234.01423487544483
2243673.0	225.96
2252290.5	240.04952076677316
2263694.5	228.9906976744186
2275098.5	242.33546325878595
2286502.5	227.33021806853583
2297906.5	224.1153846153846
2309310.5	226.99704579025112
2320714.5	225.875
2332118.5	230.54753521126761
2343522.5	230.82342342342343
2352500.5	240.31304347826088
2358202.5	226.26235741444867
2366330.5	245.2420382165605
2377734.5	251.94169096209913
2389138.5	239.22349570200572
2400542.5	242.13793103448276
2411946.5	223.92272024729522
2423350.5	239.75806451612902
2434754.5	235.37179487179486
2446158.5	245.4281045751634
2456351.5	236.16494845360825
2462053.5	240.39735099337747
2468966.5	216.30143540669857
2480370.5	237.4876923076923
2491774.5	220.77217125382262
2503178.5	234.04383116883116
2514582.5	243.24923547400613
2525986.5	232.81447963800906
2537390.5	238.74587458745876
2548794.5	233.04590163934427
2558192.0	231.14016172506737
2563894.0	201.56967213114754
2571602.5	223.97356143079315
2583006.5	234.7043847241867
2594410.5	218.53201219512195
2605814.5	222.7581903276131
2617218.5	241.4309210526316
2628622.5	244.26323987538942
2640026.5	242.53257790368272
2651430.5	232.52212389380531
2658342.5	226.43283582089552
2664044.5	235.90962671905697
2674238.5	242.72826086956522
2685642.5	240.92168674698794
2697046.5	234.99537037037038
2708450.5	235.97586726998492
2719854.5	226.75423728813558
2731258.5	228.7799717912553
2742662.5	245.71494607087828
2752448.5	226.28351648351648
2758150.5	223.52972972972972
2765470.5	240.30213464696223
2776874.5	233.8437047756874
2788278.5	226.33632286995515
2799682.5	231.13230240549828
2811086.5	232.85714285714286
2822490.5	235.99519230769232
2833894.5	243.89043209876544
2844898.5	233.01408450704224
2850600.5	177.32258064516128
2856702.5	201.52417794970987
2868106.5	235.55787781350483
2879510.5	238.4704
2890914.5	233.14786585365854
2902318.5	258.2787682333874
2913722.5	239.68965517241378
2925126.5	214.0248833592535
2936530.5	230.66053748231965
2943045.0	228.03846153846155
2948747.0	237.763671875
2959338.5	221.8439937597504
2970742.5	222.84546805349183
2982146.5	230.98867313915858
2993550.5	234.40712074303406
3004954.5	239.7986577181208
3016358.5	225.0916808149406
3027762.5	236.1390625
3033726.0	192.9090909090909
3039428.0	242.33278955954324
3050570.5	234.78526645768025
3061974.5	237.75077399380805
3073378.5	241.25709779179812
3084782.5	237.86026936026937
3096186.5	230.79588839941263
3107590.5	228.54173228346457
3118195.5	229.592050209205
3123897.5	223.0989010989011
3130398.5	227.46699669966998
3141802.5	232.05103668261563
3153206.5	226.95295902883157
3164610.5	237.3512658227848
3176014.5	246.41541038525963
3187418.5	224.9194729136164
3198822.5	243.51351351351352
3207769.0	222.45664739884393
3213471.0	220.73220338983052
3221630.5	227.8590308370044
3233034.5	243.59867330016584
3244438.5	239.11970802919708
3255842.5	242.2641815235008
3267246.5	230.65630114566284
3278650.5	235.53463855421685
3288823.5	236.96413502109704
3294525.5	235.4297520661157
3301458.5	237.41080196399346
3312862.5	232.85761589403972
3324266.5	250.74310344827586
3335670.5	245.93185185185186
3347074.5	232.7967213114754
3355353.0	237.07241379310344
3361055.0	223.86102719033232
3369882.5	229.60174418604652
3381286.5	220.21679389312976
3392690.5	227.95342066957787
3404094.5	225.6733746130031
3414082.5	225.53275109170306
3419784.5	221.8198757763975
3426902.5	225.68609865470853
3438306.5	233.9037356321839
3449710.5	249.51892744479494
3461114.5	230.19431279620852
3472435.0	224.26646706586826
3478137.0	160.6
3483922.5	230.79058441558442
3495326.5	223.8964968152866
3506730.5	234.58893871449925
3518134.5	207.50755287009062
3528561.0	224.71373307543521
3534263.0	223.00806451612902
3540942.5	207.5734870317003
3552346.5	211.8301329394387
3563750.5	244.81259842519685
3575154.5	242.4179810725552
3584456.5	235.632241813602
3590158.5	233.17543859649123
3597962.5	231.59937402190923
3609366.5	229.506139154161
3620770.5	245.5103448275862
3632174.5	231.86170212765958
3639035.5	226.60176991150442
3644737.5	228.40404040404042
3654982.5	226.0510708401977
3666386.5	232.3278084714549
3677790.5	226.72537313432835
3685941.5	200.95669291338584
3691643.5	221.9
3700598.5	246.80739599383668
3712002.5	221.60059171597632
3723406.5	236.16385911179174
3732210.5	244.0433436532508
3737912.5	256.40520446096656
3746214.5	240.7639097744361
3757618.5	234.0176848874598
3769022.5	229.60157480314962
3778248.5	233.05089058524172
3783950.5	231.45374449339207
3791830.5	231.79140127388536
3803234.5	232.98527245949927
3814638.5	236.51697530864197
3824079.5	211.35508637236086
3829781.5	232.4622222222222
