#Position (bp)	mapping quality
1944382.5	59.9882847737204
1955786.5	59.99684505362788
1967190.5	59.9897687360022
1978594.5	59.99340978069316
1989998.5	59.98634653065033
2001402.5	58.03565660591061
2008282.5	60.0
2013984.5	59.97291666666667
2024210.5	59.99171141862718
2035614.5	59.99326121550897
2047018.5	59.99412758649345
2058422.5	59.98170576151026
2069826.5	59.99550287348122
2081230.5	59.99491626083858
2092634.5	59.99071747269091
2104038.5	59.99250694356563
2115442.5	59.990247044210335
2123305.0	59.822834302071875
2129007.0	59.8376361491399
2138250.5	59.98632337696192
2149654.5	59.99113124329479
2161058.5	59.991996612901026
2172462.5	59.9928948921053
2183866.5	59.993601337958374
2195270.5	59.94086689137248
2206674.5	59.99936195598772
2218078.5	59.98002287255492
2229482.5	59.9834567389841
2237971.0	59.99532837199196
2243673.0	59.9297716010708
2252290.5	59.99393981217182
2263694.5	59.98821867617397
2275098.5	59.995327950364945
2286502.5	59.989907133318155
2297906.5	59.993664151964175
2309310.5	59.969271120603665
2320714.5	59.99259045298705
2332118.5	59.98879054800983
2343522.5	59.99636280972948
2352500.5	59.86748063659293
2358202.5	59.95003055096049
2366330.5	59.983100767404764
2377734.5	59.98947171267708
2389138.5	59.94102470007057
2400542.5	59.99059016582589
2411946.5	59.99416088224549
2423350.5	59.9848675050784
2434754.5	59.99356231512468
2446158.5	59.99016845820632
2456351.5	59.98869555580184
2462053.5	58.98175677472542
2468966.5	59.724372789132744
2480370.5	59.98898927997247
2491774.5	59.99308247216965
2503178.5	59.99316252699432
2514582.5	59.996963973664236
2525986.5	59.99480107687705
2537390.5	59.98326696327812
2548794.5	59.98576339972341
2558192.0	59.935265679996604
2563894.0	53.564009775354826
2571602.5	59.98603072991297
2583006.5	59.98662136818884
2594410.5	59.9912584140783
2605814.5	59.397626656726814
2617218.5	59.98600391587191
2628622.5	59.994466032265436
2640026.5	59.678200557751694
2651430.5	59.98202754443111
2658342.5	59.982263309236515
2664044.5	59.9973536847577
2674238.5	59.9924042352143
2685642.5	59.99026267577149
2697046.5	59.99065375680559
2708450.5	59.9852933186025
2719854.5	59.98914199609998
2731258.5	59.98673856180174
2742662.5	59.99869313622991
2752448.5	59.92045514131404
2758150.5	59.988450186080335
2765470.5	59.98819481138762
2776874.5	59.98791825251419
2788278.5	59.981243452570126
2799682.5	59.92058475178505
2811086.5	59.67790358501926
2822490.5	59.990767963502726
2833894.5	59.99128626176385
2844898.5	59.93736445213793
2850600.5	59.507040074268915
2856702.5	59.98711647544154
2868106.5	59.95288660584222
2879510.5	59.993614391224135
2890914.5	59.98024720774386
2902318.5	59.751492877244
2913722.5	59.98819857410388
2925126.5	59.993358892303796
2936530.5	59.97549131151453
2943045.0	60.0
2948747.0	59.98608811377107
2959338.5	59.978162109958255
2970742.5	59.986806589724495
2982146.5	59.99392677536116
2993550.5	59.76078105475873
3004954.5	59.77113848977068
3016358.5	59.86297205501564
3027762.5	59.97512391859856
3033726.0	60.0
3039428.0	59.99445645263827
3050570.5	59.992802252993414
3061974.5	59.99027622144252
3073378.5	59.98662549514987
3084782.5	59.98613473634242
3096186.5	59.86859082031806
3107590.5	59.98191642559482
3118195.5	59.99288224601091
3123897.5	60.0
3130398.5	59.99643945448285
3141802.5	59.99253849415547
3153206.5	59.80736776738749
3164610.5	59.924538785703135
3176014.5	59.06947669110166
3187418.5	59.9866551598311
3198822.5	59.991961233363206
3207769.0	59.99124544489555
3213471.0	57.772602811171666
3221630.5	59.98934017319277
3233034.5	59.993742119889895
3244438.5	59.98775808409414
3255842.5	59.98958241978526
3267246.5	59.99178082191781
3278650.5	59.99158150070451
3288823.5	59.97697301929965
3294525.5	59.99141404134469
3301458.5	59.99722265082549
3312862.5	59.96590945810579
3324266.5	59.99379943099059
3335670.5	59.994808428129716
3347074.5	59.994116307071494
3355353.0	59.98156705557967
3361055.0	59.99124493369415
3369882.5	59.97837893461085
3381286.5	59.99158297002642
3392690.5	59.995755404455956
3404094.5	59.99121359548441
3414082.5	59.932780947739055
3419784.5	59.97226983966925
3426902.5	59.98981862954018
3438306.5	59.83209664596559
3449710.5	59.990747809648454
3461114.5	59.98558761788389
3472435.0	59.94785549030077
3478137.0	56.16838487972509
3483922.5	59.933471411939514
3495326.5	59.98843923324542
3506730.5	59.99622486956212
3518134.5	59.985725268304684
3528561.0	59.97687861271676
3534263.0	58.829139116418304
3540942.5	59.9885725308191
3552346.5	59.98983432182676
3563750.5	59.990190789151015
3575154.5	59.99613195693414
3584456.5	59.95333185486592
3590158.5	59.9342254084811
3597962.5	59.989614206678525
3609366.5	59.99599257884972
3620770.5	59.990392185644325
3632174.5	59.98082375129282
3639035.5	59.98632563632408
3644737.5	59.91798308729607
3654982.5	59.985329533725846
3666386.5	59.99148555942016
3677790.5	59.982060226382856
3685941.5	59.95810705973623
3691643.5	57.1165430603905
3700598.5	59.990612878658176
3712002.5	59.99569432026728
3723406.5	59.995597553115154
3732210.5	59.967093447656566
3737912.5	59.9925396470851
3746214.5	59.976795122239984
3757618.5	59.97956780761872
3769022.5	59.99593195266272
3778248.5	59.95452161608565
3783950.5	59.836329302393146
3791830.5	59.98436956413697
3803234.5	59.9958275624272
3814638.5	59.731204331502
3824079.5	59.75647675767214
3829781.5	59.991283519729144
